SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523385,NILKAMAL L  ,A ,Q,1160.00,1178.45,1160.00,1175.00,1174.65,1176.40,42,164,191430.00,
523395,3M INDIA LTD,A ,Q,22000.05,22211.60,21800.00,21894.65,21800.00,22080.75,107,149,3283242.00,
523398,JCHAC       ,B ,Q,1561.00,1727.75,1561.00,1716.45,1722.70,1728.05,90,185,313214.00,
523405,JM FINANCIAL,A ,Q,74.00,78.00,72.10,77.85,78.00,74.90,390,24630,1888598.00,
523411,ADCINDIA    ,X ,Q,209.00,216.00,208.95,214.75,214.75,209.00,19,392,82448.00,
523445,REL INDL INF,B ,Q,287.10,290.60,282.60,284.50,284.50,287.05,604,18422,5286829.00,
523457,LINDEINDIA  ,A ,Q,507.65,510.20,496.65,503.05,504.50,504.45,219,3957,1989287.00,
523465,IND.BANK HSG,B ,Q,32.00,32.00,30.55,31.85,31.85,31.25,12,282,8713.00,
523537,APM INDUS.  ,X ,Q,23.95,24.00,21.65,21.85,22.00,23.05,32,4816,108107.00,
523539,PRECISION WR,B ,Q,178.05,191.80,178.00,185.80,183.05,186.80,45,1036,187447.00,
523550,KRYPTON IND ,X ,Q,18.45,18.45,14.80,15.50,15.50,16.00,18,3808,59045.00,
523574,FEL         ,B ,Q,34.55,35.25,34.55,35.00,34.75,34.80,72,14733,515208.00,
523586,IND.TONERS  ,X ,Q,122.10,126.50,120.40,124.75,123.50,124.50,53,1799,221501.00,
523598,SHIPP.CORPN ,A ,Q,30.90,31.25,30.50,30.80,30.80,30.85,281,29940,924180.00,
523606,SIKA INTER. ,X ,Q,186.75,186.75,162.65,166.65,162.65,178.00,25,884,154440.00,
523610,ITI LTD.    ,A ,Q,90.85,92.80,90.35,90.85,90.80,92.45,762,75474,6895491.00,
523618,DREDGING COR,B ,Q,388.00,401.70,383.00,394.30,394.30,392.00,942,24357,9541153.00,
523620,PHARMASIA   ,XT,Q,19.90,19.90,19.90,19.90,19.90,19.90,1,5,99.00,
523630,NATIONAL FER,B ,Q,35.85,35.85,33.55,34.45,34.45,34.50,312,50083,1736409.00,
523638,IP RINGS LTD,X ,Q,74.25,77.00,72.30,73.40,73.40,76.00,52,5354,393592.00,
523642,PI INDUS.LTD,A ,Q,1126.60,1166.00,1118.55,1161.50,1161.50,1126.00,238,2799,3212907.00,
523648,PLASTIBLEND ,B ,Q,175.70,178.00,175.00,177.05,177.00,180.05,32,1120,196356.00,
523652,KKPLASTICK  ,XT,Q,2.30,2.30,2.20,2.20,2.20,2.30,2,50,110.00,
523660,WATERBASE   ,X ,Q,120.95,123.00,118.85,119.40,119.40,120.55,427,38454,4631530.00,
523672,FLEX FOODS  ,X ,Q,62.80,62.80,61.50,61.50,61.50,59.75,3,142,8734.00,
